Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
3.696388270417690478e+02,3.365886504055518344e+03
3.698551143799627425e+02,3.385076278879095753e+03
3.700713876518231586e+02,3.431131738455681898e+03
3.702876468559672958e+02,3.413860941114462094e+03
3.705038919910120399e+02,3.346696729231940481e+03
3.707201230555742768e+02,3.452240490761617366e+03
3.709363400482710063e+02,3.434969693420397562e+03
3.711525429677192278e+02,3.354372639161371353e+03
3.713687318125357706e+02,3.477187198032268498e+03
3.715849065813375773e+02,3.534756522503001179e+03
3.718010672727416477e+02,3.358210594126087017e+03
3.720172138853648676e+02,3.429212760973324293e+03
3.722333464178241798e+02,3.454159468243975425e+03
3.724494648687364702e+02,3.423455828526251025e+03
3.726655692367187385e+02,3.425374806008608630e+03
3.728816595203879274e+02,3.360129571608444621e+03
3.730977357183609797e+02,3.461835378173406298e+03
3.733137978292547245e+02,3.484863107961699370e+03
3.735298458516862183e+02,3.423455828526251025e+03
3.737458797842723470e+02,3.256504787561125795e+03
3.739618996256300534e+02,3.434969693420397562e+03
3.741779053743763370e+02,3.400428098737957953e+03
3.743938970291280270e+02,3.496376972855845906e+03
3.746098745885020662e+02,3.511728792714708106e+03
3.748258380511153973e+02,3.475268220549910893e+03
3.750417874155851337e+02,3.371643436502591612e+03
3.752577226805279338e+02,3.362048549090802680e+03
3.754736438445608542e+02,3.383157301396738148e+03
3.756895509063007808e+02,3.294884337208281067e+03
3.759054438643647700e+02,3.377400368949664880e+03
3.761213227173697078e+02,3.498295950338203966e+03
3.763371874639324801e+02,3.400428098737957953e+03
3.765530381026700297e+02,3.342858774267224817e+03
3.767688746321993563e+02,3.421536851043893421e+03
3.769846970511373456e+02,3.434969693420397562e+03
3.772005053581008838e+02,3.365886504055518344e+03
3.774162995517070271e+02,3.312155134549500872e+03
3.776320796305726049e+02,3.429212760973324293e+03
3.778478455933146165e+02,3.377400368949664880e+03
3.780635974385499480e+02,3.394671166290884685e+03
3.782793351648955991e+02,3.498295950338203966e+03
3.784950587709684555e+02,3.486782085444057429e+03
3.787107682553855170e+02,3.419617873561535362e+03
3.789264636167635558e+02,3.431131738455681898e+03
3.791421448537196852e+02,3.383157301396738148e+03
3.793578119648706775e+02,3.362048549090802680e+03
3.795734649488336458e+02,3.406185031185031221e+03
3.797891038042254195e+02,3.413860941114462094e+03
3.800047285296629980e+02,3.296803314690638672e+03
3.802203391237631536e+02,3.446483558314544098e+03
3.804359355851429996e+02,3.423455828526251025e+03
3.806515179124194788e+02,3.308317179584785208e+03
3.808670861042093634e+02,3.507890837749992897e+03
3.810826401591297667e+02,3.363967526573160285e+03
3.812981800757975748e+02,3.358210594126087017e+03
3.815137058528295597e+02,3.492539017891130698e+03
3.817292174888428917e+02,3.381238323914380089e+03
3.819447149824543430e+02,3.362048549090802680e+03
3.821601983322809133e+02,3.363967526573160285e+03
3.823756675369395452e+02,3.371643436502591612e+03
3.825911225950471817e+02,3.419617873561535362e+03
3.828065635052207654e+02,3.444564580832186493e+03
3.830219902660771254e+02,3.408104008667388825e+03
3.832374028762333751e+02,3.425374806008608630e+03
3.834528013343062298e+02,3.383157301396738148e+03
3.836681856389128029e+02,3.344777751749582876e+03
3.838835557886699803e+02,3.358210594126087017e+03
3.840989117821946479e+02,3.358210594126087017e+03
3.843142536181038622e+02,3.329425931890720676e+03
3.845295812950143954e+02,3.369724459020233553e+03
3.847448948115432472e+02,3.358210594126087017e+03
3.849601941663074740e+02,3.429212760973324293e+03
3.851754793579237912e+02,3.352453661679013749e+03
3.853907503850093121e+02,3.396590143773242289e+03
3.856060072461809227e+02,3.385076278879095753e+03
3.858212499400555089e+02,3.402347076220315557e+03
3.860364784652500703e+02,3.350534684196656144e+03
3.862516928203814928e+02,3.369724459020233553e+03
3.864668930040667760e+02,3.375481391467306821e+03
3.866820790149227491e+02,3.481025152996984161e+03
3.868972508515665254e+02,3.363967526573160285e+03
3.871124085126148202e+02,3.367805481537875949e+03
3.873275519966846900e+02,3.365886504055518344e+03
3.875426813023930777e+02,3.434969693420397562e+03
3.877577964283568690e+02,3.402347076220315557e+03
3.879728973731930068e+02,3.390833211326169021e+03
3.881879841355184908e+02,3.446483558314544098e+03
3.884030567139501500e+02,3.429212760973324293e+03
3.886181151071050408e+02,3.321750021961289349e+03
3.888331593135999924e+02,3.317912066996574140e+03
3.890481893320519475e+02,3.377400368949664880e+03
3.892632051610779627e+02,3.358210594126087017e+03
3.894782067992948669e+02,3.400428098737957953e+03
3.896931942453196029e+02,3.423455828526251025e+03
3.899081674977691137e+02,3.398509121255600348e+03
3.901231265552603418e+02,3.323668999443647408e+03
3.903380714164102301e+02,3.337101841820151549e+03
3.905530020798357782e+02,3.396590143773242289e+03
3.907679185441537015e+02,3.377400368949664880e+03
3.909828208079812271e+02,3.369724459020233553e+03
3.911977088699350134e+02,3.381238323914380089e+03
3.914125827286322306e+02,3.400428098737957953e+03
3.916274423826896509e+02,3.386995256361453357e+03
3.918422878307242740e+02,3.385076278879095753e+03
3.920571190713530427e+02,3.346696729231940481e+03
3.922719361031928429e+02,3.421536851043893421e+03
3.924867389248607310e+02,3.350534684196656144e+03
3.927015275349734793e+02,3.371643436502591612e+03
3.929163019321481443e+02,3.411941963632104489e+03
3.931310621150015550e+02,3.427293783490966689e+03
3.933458080821507679e+02,3.346696729231940481e+03
3.935605398322126121e+02,3.479106175514626102e+03
